Network,Country
2001:678:b0::/46,IR
2001:678:d88::/48,IR
2001:67c:2728::/48,IR
2001:790::/32,IR
2001:7f8:a8::/48,IR
2001:14e8::/32,IR
2001:1500::/32,IR
2001:4188::/29,IR
2001:4c88::/32,IR
2a00:d20::/32,IR
2a00:ff8::/29,IR
2a00:1198::/32,IR
2a00:1570::/32,IR
2a00:15c8::/29,IR
2a00:1758::/32,IR
2a00:1a88::/32,IR
2a00:1ce0::/32,IR
2a00:1fe0::/32,IR
2a00:4000::/29,IR
2a00:4c60::/32,IR
2a00:52e0::/32,IR
2a00:5ca0::/32,IR
2a00:6380::/32,IR
2a00:63a0::/32,IR
2a00:6d60::/32,IR
2a00:7040::/32,IR
2a00:76c0::/29,IR
2a00:7d80::/29,IR
2a00:94c0::/32,IR
2a00:9b20::/32,IR
2a00:abe0::/32,IR
2a00:b140::/32,IR
2a00:bc60::/32,IR
2a00:c4a0::/32,IR
2a00:d500::/32,IR
2a01:3c8::/32,IR
2a01:458::/32,IR
2a01:4ac0:1::/48,IR
2a01:4ac0:2::/47,IR
2a01:4ac0:4::/46,IR
2a01:4ac0:8::/45,IR
2a01:4ac0:10::/44,IR
2a01:4ac0:20::/43,IR
2a01:4ac0:40::/42,IR
2a01:4ac0:80::/41,IR
2a01:4ac0:100::/40,IR
2a01:4ac0:200::/39,IR
2a01:4ac0:400::/38,IR
2a01:4ac0:800::/37,IR
2a01:4ac0:1000::/36,IR
2a01:4ac0:2000::/35,IR
2a01:4ac0:4000::/34,IR
2a01:4ac0:8000::/33,IR
2a01:5500::/29,IR
2a01:5840::/32,IR
2a01:5ec0::/32,IR
2a01:7320::/32,IR
2a01:9180::/32,IR
2a01:9800::/32,IR
2a01:a120::/32,IR
2a01:a540::/32,IR
2a01:bd80::/29,IR
2a02:828::/29,IR
2a02:d30::/32,IR
2a02:16c0::/29,IR
2a02:1730::/32,IR
2a02:2960::/32,IR
2a02:2b58::/29,IR
2a02:4540::/29,IR
2a02:4e60::/32,IR
2a02:5380::/32,IR
2a02:6040::/32,IR
2a02:6440::/32,IR
2a02:6ec0::/29,IR
2a02:c3a0::/30,IR
2a02:cd80::/29,IR
2a02:d2c0::/29,IR
2a02:d380::/29,IR
2a02:d780::/29,IR
2a02:df00::/29,IR
2a02:dfc0::/29,IR
2a02:f900::/29,IR
2a03:d20::/32,IR
2a03:2dc0::/32,IR
2a03:2f20::/32,IR
2a03:3b60::/32,IR
2a03:4660::/32,IR
2a03:4680::/29,IR
2a03:49c0::/32,IR
2a03:54a0::/32,IR
2a03:55e0::/32,IR
2a03:57c0::/29,IR
2a03:6680::/32,IR
2a03:6ae0::/32,IR
2a03:6d60::/32,IR
2a03:6da0::/32,IR
2a03:74a0::/32,IR
2a03:7ee0::/32,IR
2a03:9080::/32,IR
2a03:9380::/29,IR
2a03:a340::/32,IR
2a03:b060::/32,IR
2a03:ef40::/29,IR
2a04:1080::/29,IR
2a04:1380::/29,IR
2a04:1400::/29,IR
