Network,Tag
204.89.193.0/24,XX
204.93.185.0/24,XX
208.99.64.0/19,XX
208.99.64.0/20,XX
208.99.84.0/24,XX
209.239.160.0/20,XX
216.18.160.0/19,XX
216.18.160.0/20,XX
216.18.168.0/24,XX
64.202.125.0/24,XX
64.202.126.0/24,XX
64.210.128.0/19,XX
64.210.128.0/20,XX
64.210.141.0/24,XX
64.210.148.0/24,XX
64.88.240.0/24,XX
64.88.244.0/24,XX
66.254.101.0/24,XX
66.254.105.0/24,XX
66.254.114.0/24,XX
66.254.122.0/24,XX
66.254.126.0/24,XX
66.254.127.0/24,XX
66.254.96.0/19,XX
67.22.48.0/24,XX
67.22.50.0/24,XX
67.22.51.0/24,XX
67.22.52.0/24,XX
67.22.53.0/24,XX
67.22.54.0/24,XX
67.22.56.0/24,XX
67.22.57.0/24,XX
67.22.58.0/24,XX
67.22.59.0/24,XX
