Network,Tag
103.21.244.0/22,CF
103.22.200.0/22,CF
103.31.4.0/22,CF
104.16.0.0/13,CF
104.24.0.0/14,CF
108.162.192.0/18,CF
131.0.72.0/22,CF
141.101.64.0/18,CF
162.158.0.0/15,CF
172.64.0.0/13,CF
173.245.48.0/20,CF
188.114.96.0/20,CF
190.93.240.0/20,CF
197.234.240.0/22,CF
198.41.128.0/17,CF
1.0.1.0/24,CN
1.0.2.0/23,CN
1.0.32.0/19,CN
1.0.8.0/21,CN
1.1.0.0/24,CN
1.1.16.0/20,CN
1.1.2.0/23,CN
1.1.32.0/19,CN
1.1.4.0/22,CN
1.1.8.0/21,CN
1.10.0.0/21,CN
1.10.11.0/24,CN
1.10.12.0/22,CN
1.10.16.0/20,CN
1.10.32.0/19,CN
1.10.64.0/18,CN
1.10.8.0/23,CN
1.116.0.0/15,CN
1.116.128.0/18,CN
1.116.192.0/18,CN
1.117.0.0/18,CN
1.117.128.0/18,CN
1.117.192.0/18,CN
1.117.64.0/18,CN
1.118.0.0/19,CN
1.118.128.0/17,CN
1.118.33.0/24,CN
1.118.34.0/23,CN
1.118.36.0/22,CN
1.118.40.0/21,CN
1.118.48.0/20,CN
1.118.64.0/18,CN
1.119.0.0/16,CN
1.119.192.0/21,CN
1.119.200.0/22,CN
1.12.0.0/14,CN
1.178.32.0/19,CN
1.180.0.0/14,CN
1.184.0.0/15,CN
1.188.0.0/14,CN
1.192.0.0/13,CN
1.2.0.0/23,CN
1.2.12.0/22,CN
1.2.16.0/20,CN
1.2.2.0/24,CN
1.2.32.0/19,CN
1.2.4.0/22,CN
1.2.64.0/18,CN
1.2.8.0/21,CN
1.201.184.0/24,CN
1.201.185.0/24,CN
1.201.186.0/24,CN
1.201.187.0/24,CN
1.201.188.0/24,CN
1.201.189.0/24,CN
1.202.0.0/15,CN
1.202.128.0/17,CN
1.203.0.0/16,CN
1.203.192.0/18,CN
1.204.0.0/14,CN
1.24.0.0/13,CN
1.24.192.0/21,CN
1.24.216.0/22,CN
1.24.236.0/22,CN
1.24.80.0/21,CN
1.24.88.0/22,CN
1.24.92.0/23,CN
1.24.94.0/24,CN
1.25.0.0/21,CN
1.25.128.0/21,CN
1.25.24.0/21,CN
1.25.32.0/22,CN
1.25.40.0/21,CN
1.25.92.0/22,CN
1.28.12.0/22,CN
1.28.140.0/22,CN
1.28.148.0/22,CN
1.28.156.0/22,CN
1.28.16.0/21,CN
1.28.168.0/22,CN
1.28.176.0/22,CN
1.28.224.0/22,CN
1.28.24.0/22,CN
1.28.41.0/24,CN
1.28.42.0/24,CN
1.28.96.0/22,CN
1.3.0.0/16,CN
1.30.100.0/22,CN
1.30.164.0/22,CN
1.30.176.0/21,CN
1.30.40.0/21,CN
1.30.48.0/22,CN
1.30.92.0/22,CN
1.30.96.0/22,CN
1.31.192.0/22,CN
1.31.36.0/22,CN
1.4.1.0/24,CN
1.4.12.0/22,CN
1.4.16.0/20,CN
1.4.2.0/23,CN
1.4.32.0/19,CN
1.4.4.0/22,CN
1.4.64.0/18,CN
1.4.8.0/21,CN
1.45.0.0/16,CN
1.48.0.0/14,CN
1.51.64.0/18,CN
1.56.0.0/13,CN
1.68.0.0/14,CN
1.8.0.0/16,CN
1.80.0.0/12,CN
1.82.208.0/20,CN
1.82.219.0/24,CN
1.82.232.0/21,CN
1.82.240.0/20,CN
1.92.0.0/20,CN
1.93.0.0/16,CN
100.42.226.0/24,CN
100.42.232.0/24,CN
101.0.0.0/22,CN
101.1.0.0/22,CN
101.101.100.0/24,CN
101.101.102.0/23,CN
101.101.104.0/21,CN
101.101.112.0/20,CN
101.101.64.0/19,CN
101.102.100.0/23,CN
101.102.102.0/24,CN
101.102.104.0/21,CN
101.102.112.0/20,CN
101.102.64.0/19,CN
101.104.0.0/14,CN
101.104.160.0/20,CN
101.106.0.0/19,CN
101.110.116.0/22,CN
101.110.120.0/21,CN
101.110.64.0/19,CN
101.110.96.0/20,CN
101.120.0.0/14,CN
101.124.0.0/15,CN
101.125.0.0/23,CN
101.125.2.0/23,CN
101.125.4.0/23,CN
101.126.0.0/16,CN
